lon,lat,segment_id
-127.07412,42.20086,14
-127.08888,42.11229,14
-127.10000,42.04000,14
-127.15866,42.05325,15
-127.15866,42.02910,15
-127.16000,42.00000,15
-127.16000,41.96000,15
-127.16671,41.89760,15
-127.18000,41.80000,15
-127.20000,41.70000,15
-127.23000,41.62000,15
-127.48205,41.13944,16
-127.48473,41.06162,16
-127.47936,40.99989,16
-127.47534,40.95024,16
-127.47000,40.90000,16
-127.46594,40.84826,16
-127.46326,40.78117,16
-127.46000,40.70000,16
-127.46000,40.60000,16
-127.46000,40.50000,16
-127.46192,40.39605,16
-127.47000,40.38000,17
-124.50000,40.33000,17
-124.80000,40.33000,18
-124.50000,41.00000,18
-124.65000,42.25000,18
-125.10000,43.25000,18
-125.08000,44.55000,18
-125.12000,45.00000,18
-125.00000,45.85000,18
-125.40000,46.75000,18
-125.60000,47.70000,18
-126.40000,48.25000,18
-127.10000,48.95000,18
-127.50000,49.50000,18
-128.14999,50.00000,18
-129.30000,50.70000,18
-130.85001,51.60000,18
-132.10001,52.35000,18
-133.10001,53.15000,18
-133.89999,54.10000,18
-134.80000,55.00000,18
-135.50000,55.60000,18
-135.80000,56.35000,18
-136.05000,56.90000,18
-136.50000,57.30000,18
-130.75000,51.58000,19
-131.14999,51.30000,19
-130.14999,50.40000,19
-130.16000,50.33000,20
-130.20000,50.30000,20
-130.24001,50.26000,20
-130.43512,44.51532,21
-130.41231,44.55975,21
-130.38709,44.60779,21
-130.36787,44.64862,21
-130.34386,44.70146,21
-130.31984,44.75190,21
-130.29343,44.80354,21
-130.26219,44.86718,21
-130.23337,44.92482,21
-130.20456,44.98367,21
-130.18054,45.04011,21
-130.16252,45.08574,21
-130.14691,45.12417,21
-130.13490,45.15539,21
-130.20215,45.07613,22
-130.18654,45.11336,22
-130.17453,45.14579,22
-130.15652,45.18422,22
-130.13490,45.22384,22
-130.11449,45.26467,22
-130.09888,45.29350,22
-130.07846,45.33192,22
-130.06046,45.36435,22
-130.06046,45.36555,22
-130.05205,45.33793,23
-130.02683,45.38116,23
-130.00281,45.42439,23
-129.97638,45.46762,23
-129.95265,45.50982,23
-129.93195,45.54808,23
-129.91515,45.59612,23
-130.10608,45.48804,24
-130.09167,45.52887,24
-130.07486,45.57570,24
-130.05925,45.62494,24
-130.04243,45.68018,24
-130.02922,45.72701,24
-130.02081,45.77024,24
-130.01273,45.81520,24
-130.00401,45.85551,24
-129.99319,45.89394,24
-129.98599,45.92396,24
-129.98036,45.94810,24
-129.98074,45.96366,24
-129.98347,45.97182,24
-130.00641,45.92166,25
-130.01108,45.92710,25
-130.01381,45.93371,25
-130.01808,45.93838,25
-130.02313,45.94616,25
-130.02702,45.95471,25
-130.03169,45.96482,25
-130.03558,45.97221,25
-130.03636,45.97649,25
-130.03597,45.98193,25
-130.03325,45.98582,25
-130.02858,45.98816,25
-130.02275,45.98893,25
-130.01691,45.99049,25
-130.01070,45.99088,25
-130.00603,45.98816,25
-130.00330,45.98427,25
-130.00058,45.97960,25
-129.99669,45.97493,25
-129.99513,45.96988,25
-129.99280,45.96521,25
-129.99046,45.96016,25
-129.98853,45.95549,25
-129.98659,45.94888,25
-130.02858,45.98732,26
-130.02600,45.99578,26
-130.02269,46.00462,26
-130.01863,46.01714,26
-130.01311,46.03224,26
-130.00612,46.04623,26
-129.99728,46.06427,26
-129.98918,46.08084,26
-129.97592,46.10110,26
-129.96230,46.11951,26
-129.94609,46.13645,26
-129.93394,46.14897,26
-129.92180,46.16149,26
-129.91112,46.17180,26
-129.90007,46.18211,26
-129.88823,46.19361,26
-129.86205,46.22026,26
-129.84052,46.24081,26
-129.91292,46.00404,27
-129.88651,46.03241,27
-129.86205,46.06763,27
-129.83270,46.11068,27
-129.79845,46.16254,27
-129.75735,46.22418,27
-129.71236,46.30049,27
-129.67517,46.36018,27
-129.64581,46.41105,27
-129.60669,46.48052,27
-129.56558,46.54607,27
-129.52254,46.60576,27
-129.46384,46.68011,27
-129.40611,46.74665,27
-129.45992,46.59499,28
-129.42274,46.62924,28
-129.38849,46.67620,28
-129.36110,46.71925,28
-129.34251,46.75350,28
-129.31903,46.79753,28
-129.29750,46.83666,28
-129.27109,46.88265,28
-129.24370,46.92570,28
-129.21239,46.97951,28
-129.19281,47.01473,28
-129.17813,47.03724,28
-129.16933,47.05387,28
-129.16835,47.05582,29
-129.14291,47.10083,29
-129.09595,47.18693,29
-129.04703,47.27206,29
-129.00398,47.34935,29
-128.98441,47.41393,29
-128.96582,47.49513,29
-128.95995,47.58612,29
-128.96191,47.69571,29
-128.96777,47.76126,29
-127.41496,41.09650,30
-127.41630,41.16494,30
-127.41361,41.21996,30
-127.41496,41.26021,30
-127.41496,41.31120,30
-127.41630,41.36756,30
-127.41764,41.39977,30
-127.41630,41.44002,30
-127.41764,41.48967,30
-127.41898,41.55945,30
-127.41630,41.61446,30
